"2023-09-20 19:17:26 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 1312 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:27:18 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:28:50 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 25148 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:28:50 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:28:50 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:28:50 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:28:51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:28:51 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:28:51 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:28:51 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:28:51 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1012 ms
""2023-09-20 19:28:51 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:28:51 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:28:51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:28:51 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.966 seconds (process running for 2.661)
""2023-09-20 19:28:52 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:29:10 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 16836 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:29:10 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:29:10 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:29:10 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:29:11 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:29:11 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:29:11 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:29:11 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:29:11 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 986 ms
""2023-09-20 19:29:11 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:29:12 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:29:12 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:29:12 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.904 seconds (process running for 2.683)
""2023-09-20 19:29:14 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:31:13 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 11228 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:31:13 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:31:13 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:31:13 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:31:14 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:31:14 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:31:14 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:31:14 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:31:14 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 970 ms
""2023-09-20 19:31:14 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:31:14 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:31:14 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:31:14 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.878 seconds (process running for 2.514)
""2023-09-20 19:31:20 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:32:17 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 17212 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:32:17 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:32:17 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:32:17 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:32:18 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:32:18 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:32:18 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:32:18 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:32:18 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 897 ms
""2023-09-20 19:32:18 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:32:19 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:32:19 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:32:19 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.724 seconds (process running for 2.38)
""2023-09-20 19:32:19 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
